conflict_id,location,year_beg,start_date,year_end,date_end,incompatibility,territory_name
200,Bolivia,1946,1946-07-18,1967,1967-10-16,2,
202,China,1946,1946-12-31,1949,1949-12-08,2,
203,Greece,1946,1946-03-31,1949,1949-10-16,2,
205,Iran,1946,1946-05-31,2018,2018-10-12,1,Kurdistan
206,Iran,1946,1945-11-19,1946,1946-12-16,1,Azerbaijan
209,Philippines,1946,1946-07-31,2023,,2,
210,Russia (Soviet Union),1946,1944-12-31,1948,1948-12-31,1,Estonia
211,Russia (Soviet Union),1946,1945-12-31,1946,1946-12-31,1,Latvia
212,Russia (Soviet Union),1946,1946-06-30,1948,1948-12-31,1,Lithuania
213,Russia (Soviet Union),1946,1941-12-31,1950,1950-12-31,1,Ukraine
217,China,1947,1947-02-28,1947,1947-03-24,1,Taiwan
220,Paraguay,1947,1947-03-07,1989,1989-02-03,2,
221,Myanmar (Burma),1949,1948-12-31,2023,,1,Karen
222,Myanmar (Burma),1948,1948-02-29,2023,,2,
223,Myanmar (Burma),1948,1948-01-31,2023,,1,Arakan
224,Myanmar (Burma),1949,1948-12-31,1996,1996-12-23,1,Mon
225,Costa Rica,1948,1948-03-03,1948,1948-04-20,2,
227,India,1948,1948-05-01,2023,,2,
230,Yemen (North Yemen),1948,1948-03-15,2023,,2,
231,Myanmar (Burma),1949,1949-12-31,2023,,1,Kachin
233,Guatemala,1949,1949-07-18,1995,1995-12-31,2,
234,Israel,1949,1948-05-15,2023,,1,Palestine
236,China,1950,1950-10-07,1959,1959-04-23,1,Tibet
237,Indonesia,1950,1950-08-05,1950,1950-11-15,1,South Moluccas
240,Thailand,1951,1951-06-30,1982,1982-12-31,2,
242,Cuba,1953,1953-07-26,1961,1961-04-20,2,
243,Indonesia,1953,1953-12-31,1961,1961-12-31,2,
247,Argentina,1955,1955-06-16,1977,1977-12-31,2,
249,South Vietnam,1955,1955-04-30,1964,1964-12-31,1,South Vietnam
251,India,1956,1955-07-20,2000,2000-09-13,1,Nagaland
253,Myanmar (Burma),1957,1957-12-31,2023,,1,Karenni
258,Oman,1957,1957-07-31,1957,1957-08-26,1,Oman
259,Iraq,1958,1958-07-14,2023,,2,
260,Lebanon,1958,1958-05-15,1990,1990-10-13,2,
261,Malaysia,1958,1957-12-31,1981,1981-12-31,2,
262,Laos,1959,1959-11-12,1990,1990-04-10,2,
264,Myanmar (Burma),1959,1959-11-22,2015,2015-11-30,1,Shan
265,DR Congo (Zaire),1961,1961-10-27,2020,2020-09-26,1,Katanga
266,DR Congo (Zaire),1960,1960-08-31,1962,1962-12-31,1,South Kasai
267,Ethiopia,1960,1960-12-17,2022,2022-11-27,2,
269,Nepal,1960,1960-02-29,2006,2006-09-21,2,
270,France,1961,1961-04-22,1962,1962-06-30,2,
271,Iraq,1961,1945-08-30,1996,1996-09-30,1,Kurdistan
275,Ethiopia,1964,1961-09-30,1991,1991-05-31,1,Eritrea
277,Venezuela,1962,1962-06-03,1992,1992-11-27,2,
280,Malaysia,1963,1963-12-31,1966,1966-12-31,1,North Borneo
282,Sudan,1963,1963-12-31,1972,1972-01-31,1,Southern Sudan
283,DR Congo (Zaire),1964,1964-01-03,2023,,2,
284,Gabon,1964,1964-02-18,1964,1964-02-19,2,
287,Burundi,1965,1965-10-18,2023,,2,
288,Chad,1966,1966-07-31,2023,,2,
289,Colombia,1964,1964-12-31,2023,,2,
290,Dominican Republic,1965,1965-04-24,1965,1965-08-31,2,
291,Indonesia,1965,1965-07-28,2023,,1,West Papua
292,Peru,1965,1963-05-15,2010,2010-12-30,2,
295,Ghana,1966,1966-02-24,1983,1983-06-19,2,
296,India,1966,1966-09-01,1968,1968-12-31,1,Mizoram
297,Nigeria,1966,1966-01-15,2023,,2,
298,South Africa,1966,1966-08-26,1989,1989-05-05,1,Namibia
299,Syria,1966,1966-02-23,2023,,2,
300,Cambodia (Kampuchea),1967,1967-04-30,1998,1998-10-03,2,
303,Nigeria,1967,1967-07-06,2023,,1,Biafra
307,Guinea,2000,2000-09-01,2001,2001-07-19,2,
308,Philippines,1970,1970-08-20,2020,2020-12-09,1,Mindanao
309,Sudan,1971,1971-07-22,2023,,2,
310,Madagascar (Malagasy),1971,1971-04-30,1971,1971-04-30,2,
311,Morocco,1971,1971-07-10,1971,1971-07-11,2,
312,Pakistan,1971,1971-03-26,1971,1971-12-16,1,East Pakistan
313,Sri Lanka,1971,1971-04-05,1990,1990-02-23,2,
314,Uganda,1971,1971-01-25,2017,2017-12-22,2,
315,United Kingdom,1971,1970-08-11,1998,1998-08-15,1,Northern Ireland
316,El Salvador,1972,1972-03-25,1991,1991-11-18,2,
317,Oman,1969,1968-10-31,1975,1975-12-11,2,
318,Zimbabwe (Rhodesia),1967,1966-04-29,1979,1979-12-21,2,
319,Uruguay,1972,1970-04-13,1972,1972-12-31,2,
321,Chile,1973,1973-09-11,1973,1973-09-11,2,
322,Bangladesh,1975,1975-02-28,1991,1991-12-31,1,Chittagong Hill Tracts
325,Pakistan,1974,1973-05-18,2023,,1,Balochistan
326,Eritrea,1997,1993-12-16,2003,2003-08-09,2,
327,Angola,1975,1975-11-11,2002,2002-04-01,2,
329,Ethiopia,1964,1964-01-11,2016,2016-12-31,1,Ogaden
330,Indonesia,1975,1975-12-07,1999,1999-09-22,1,East Timor
331,Morocco,1975,1975-09-01,1989,1989-11-16,1,Sahrawi Arab Democratic Republic (Western Sahara)
332,Mozambique,1977,1977-12-31,2019,2019-07-12,2,
333,Afghanistan,1978,1975-07-02,2023,,2,
335,India,1979,1979-07-09,2004,2004-12-28,1,Tripura
336,Nicaragua,1977,1974-12-27,1990,1990-04-15,2,
337,Somalia,1982,1982-01-18,2023,,2,
338,Iran,1979,1972-08-13,2023,,2,
339,Iran,1979,1979-05-30,1980,1980-12-31,1,Arabistan
340,Saudi Arabia,1979,1979-11-20,1979,1979-12-04,2,
341,Liberia,1980,1980-04-12,2003,2003-11-21,2,
342,Spain,1978,1968-06-07,1991,1991-12-13,1,Basque
343,Tunisia,1980,1980-01-27,2015,2015-11-15,2,
344,Gambia,1981,1981-07-30,1981,1981-08-05,2,
