Appears as,Should be
lra,LRA
Lra,LRA
amuru,Amuru
gulu,Gulu
kitgum,Kitgum
oyam,Oyam
lira,Lira
pader,Pader
amuria,Amuria
soroti,Soroti
karamojong,Karamojong
updf,UPDF
ngo,NGO
wfp,WFP
rwot,RWOT
acholi,Acholi
langi,Langi
madi,Madi
iteso,Iteso
uganda,Uganda
ugandan,Ugandan
icc,ICC
bbc,BBC
Bbc,BBC
kony,Kony
ALUR,Alur
Acholi labwor,Acholi Labwor
alur,Alur
aluru,Aluru
aluu,Aluu
jonam,Jonam
Laloka paluo,Laloka Paluo
laloka paluo,Laloka Paluo
madi,Madi
Madi sudanese,Madi Sudanese
maide,Maide
mukiga,Mukiga
nam,Nam
bakonyo,Bakonyo
kakwa,kakwa
kotos,Kotos
sudanise,Sudanese
rla,LRA
