tables,colname,definition,source,colname_Dima
CountryYears,cyID,unique country-year ID and primary key for CountryYears table,,countryyearID
"CountryYears, Countries",ccode,Correlates of War numerical country code,,ccode
"CountryYears, Countries",ccode_case,Correlates of War numerical country code adjusted to using only the 2020 map for use in map filtering,,
"CountryYears, Countries",ccode_ksg,Gleditsch & Ward numerical country code for use with CShapes & UCDP datasets,,
"CountryYears, Countries",country,Historical country name; also primary key in Countries table,,
CountryYears,year,year of observation,,year
"CountryYears, Countries",region,United Nations top-level region identifier for use in map filtering,,
CountryYears,regime,categorical regime context variable; see below for binary versions,,regime
CountryYears,,[not included],,transitionID
CountryYears,reg_trans,binary: 1 = countries with democratic transitions at some point during 1970-2020,,democratic_transition
CountryYears,reg_democ,binary: 1 = countries with long-established democratic regimes at some point during 1970-2020,,non_transitional_democracy
CountryYears,reg_autoc,"binary: 1 = non-transitional countries with autocratic or authoritarian regimes during 1970-2020 (residual category, i.e. those that are not inlcuded in reg_trans or reg_democ)",,non_transitional_autocracy
CountryYears,conflict,binary: 1 = countries with armed conflict during 1970-2020 (25 battle-related deaths threshold),,intra_state_conflict
CountryYears,amnesties,count of amnesties per country and year of passing,TJET,amnesties
CountryYears,amnesties_SGBV,"binary for whether amnesties for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,
CountryYears,,[see other fields to replace this],,criminal_trials
CountryYears,trials_domestic,count of domestic trials per country and start year,TJET,
CountryYears,trials_domestic_SGBV,"binary for whether domestic trials for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,
CountryYears,trials_other,"count of international, hyrbid, or foreign trials per country and start year",TJET,
CountryYears,trials_other_SGBV,"binary for whether other trials for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,
CountryYears,reparations,count of reparations polices per country and year of creation,TJET,reparations_policies
CountryYears,reparations_SGBV,"binary for whether reparations for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,
CountryYears,tcs,count of truth commissions per country and year of creation,TJET,truth_commissions
CountryYears,tcs_SGBV,"binary for whether truth commissions for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,
CountryYears,vettings,count of vetting policies per country and year of creation,TJET,vetting_polisies
CountryYears,,[see other fields to replace this],,policies_only_sgbv
"CountryYears, Countries",tjet_focus,TJET focus country (i.e. there will be a more detailed country case study) ,TJET,tjet_focus
Countries,beg,first year in TJET dataset,,
Countries,end,last year in TJET dataset,,
Countries,region_sub_un,United Nations detailed regions identifier; combination of intermediate and sub-region categories,,
Countries,region_wb,World Bank region identifier,,
tjet_cy_analyses.csv,country,country name,,
tjet_cy_analyses.csv,country_case,country continuity,,
tjet_cy_analyses.csv,year,year of observation,,
tjet_cy_analyses.csv,ccode_cow,Correlates of War country code,COW,
tjet_cy_analyses.csv,ccode_ksg,Gleditsch & Ward country code,Kristian S. Gleditsch,
tjet_cy_analyses.csv,country_id_vdem,VDem country code,VDem,
tjet_cy_analyses.csv,country_name,VDem country name,VDem,
tjet_cy_analyses.csv,histname,VDem historical country name,VDem,
tjet_cy_analyses.csv,m49,M49 / ISO 3166 numeric country code,UN Statistics Division,
tjet_cy_analyses.csv,isoa3,ISO 3166 alpha3 country code,UN Statistics Division,
tjet_cy_analyses.csv,iso3c_wb,World Bank alpha3 country code,World Bank,
tjet_cy_analyses.csv,region,United Nations region,UN Statistics Division,
tjet_cy_analyses.csv,subregion,United Nations sub-region,UN Statistics Division,
tjet_cy_analyses.csv,intregion,United Nations intermediate region,UN Statistics Division,
tjet_cy_analyses.csv,region_wb,World Bank region,World Bank,
tjet_cy_analyses.csv,micro_ksg,Gleditsch micro-state ,Kristian S. Gleditsch,
tjet_cy_analyses.csv,sample_trans,"democratic transition sample, binary",TJET,
tjet_cy_analyses.csv,sample_confl,"conflict sample, binary",TJET,
tjet_cy_analyses.csv,sample_combi,combined sample (democratic transition & conflict),TJET,
tjet_cy_analyses.csv,dtr,"democratic transition sample, binary",TJET,
tjet_cy_analyses.csv,aco,"conflict & post-conflict, binary",TJET,
tjet_cy_analyses.csv,dco,"during conflict, binary",TJET,
tjet_cy_analyses.csv,pco,"after conflict, binary",TJET,
tjet_cy_analyses.csv,latent_gdp_mean_log,latent estimate of logged GDP,Fariss et al,
tjet_cy_analyses.csv,latent_gdp_mean,latent estimate of GDP,Fariss et al,
tjet_cy_analyses.csv,latent_gdp_sd_log,"latent estimate of logged GDP, standard deviation",Fariss et al,
tjet_cy_analyses.csv,latent_gdp_sd,"latent estimate of GDP, standard deviation",Fariss et al,
tjet_cy_analyses.csv,latent_gdppc_mean_log,latent estimate of logged GDP per capita,Fariss et al,
tjet_cy_analyses.csv,latent_gdppc_mean,latent estimate of GDP per capita,Fariss et al,
tjet_cy_analyses.csv,latent_gdppc_sd_log,"latent estimate of logged GDP per capita, standard deviation",Fariss et al,
tjet_cy_analyses.csv,latent_gdppc_sd,"latent estimate of GDP per capita, standard deviation",Fariss et al,
tjet_cy_analyses.csv,latent_pop_mean_log,latent estimate of logged population size,Fariss et al,
tjet_cy_analyses.csv,latent_pop_mean,latent estimate of population size,Fariss et al,
tjet_cy_analyses.csv,latent_pop_sd_log,"latent estimate of logged population size, standard deviation",Fariss et al,
tjet_cy_analyses.csv,latent_pop_sd,"latent estimate of population size, standard deviation",Fariss et al,
tjet_cy_analyses.csv,gdp_const_wdi,"GDP, constant USD",WDI,
tjet_cy_analyses.csv,gdp_growth_wdi,GDP growth,WDI,
tjet_cy_analyses.csv,gdppc_const_wdi,"GDP per capita, constant USD",WDI,
tjet_cy_analyses.csv,gdppc_ppp_wdi,"GDP per capita, purchasing power parity",WDI,
tjet_cy_analyses.csv,gdppc_growth_wdi,"GDP per capita growth, constant USD",WDI,
tjet_cy_analyses.csv,pop_wdi,population size,WDI,
tjet_cy_analyses.csv,pop_male_wdi,"population size, male",WDI,
tjet_cy_analyses.csv,pop_fem_wdi,"population size, female",WDI,
tjet_cy_analyses.csv,pop_density_wdi,population density,WDI,
tjet_cy_analyses.csv,land_area_sqkm_wdi,"country land area, square kilometers",WDI,
tjet_cy_analyses.csv,gini_wdi,GINI,WDI,
tjet_cy_analyses.csv,pop_pwt,population size,PWT,
tjet_cy_analyses.csv,rgdpna_pwt,"Real GDP using national-accounts growth rates, for studies comparing (output-based) growth rates across countries",PWT,
tjet_cy_analyses.csv,rgdpe_pwt,"Expenditure-side real GDP at chained PPPs, to compare relative living standards across countries over time",PWT,
tjet_cy_analyses.csv,rgdpo_pwt,"Output-side real GDP at chained PPPs, to compare relative productive capacity across countries over time",PWT,
tjet_cy_analyses.csv,growth_rgdpe_pwt,Expenditure-side GDP growth,PWT,
tjet_cy_analyses.csv,v2clkill,"Freedom from political killings, estimate",VDem,
tjet_cy_analyses.csv,v2clkill_sd,"Freedom from political killings, standard deviation",VDem,
tjet_cy_analyses.csv,v2clkill_nr,"Freedom from political killings, count of expert ratings",VDem,
tjet_cy_analyses.csv,v2cltort,Freedom from torture,VDem,
tjet_cy_analyses.csv,v2cltort_sd,"Freedom from torture, standard deviation",VDem,
tjet_cy_analyses.csv,v2cltort_nr,"Freedom from torture, count of expert ratings",VDem,
tjet_cy_analyses.csv,v2caviol,Political violence,VDem,
tjet_cy_analyses.csv,v2caviol_sd,"Political violence, standard deviation",VDem,
tjet_cy_analyses.csv,v2caviol_nr,"Political violence, count of expert ratings",VDem,
tjet_cy_analyses.csv,v2x_polyarchy,Electoral democracy index,VDem,
tjet_cy_analyses.csv,v2x_polyarchy_sd,"Electoral democracy index, standard deviation",VDem,
tjet_cy_analyses.csv,v2x_api,Additive polyarchy index,VDem,
tjet_cy_analyses.csv,v2x_api_sd,"Additive polyarchy index, standard deviation",VDem,
tjet_cy_analyses.csv,v2x_mpi,Multiplicative polyarchy index,VDem,
tjet_cy_analyses.csv,v2x_mpi_sd,"Multiplicative polyarchy index, standard deviation",VDem,
tjet_cy_analyses.csv,v2x_libdem,Liberal democracy index,VDem,
tjet_cy_analyses.csv,v2x_libdem_sd,"Liberal democracy index, standard deviation",VDem,
