name_short,country_case,name_full,select,begin_date,beg_cow,beg_ksg,end_date,end_cow,end_ksg,ccode_cow,ccode_ksg,country_id_vdem,cid_who,cid_wb,region_wb,stabb_cow,stabb_ksg,m49_chg,year_chg,note_chg,m49_reintro,note_reintro,country_renamed,note_renamed,m49_disuse,note_disuse,m49,isonum,isonum_was,isoa3,isoa_was,isoa2,isoa2_was,iso_chg,reg_code,region,subreg_code,subregion,intreg_code,intregion,ldc,lldc,sids,micro_ksg,iso_with,territory_of,fomerly_part_of,previously
Abkhazia,Abkhazia,Abkhazia,0,2008-08-26,,2008-08-26,2020-12-31,,2020-12-31,,396,,,,,,ABK,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Afghanistan,Afghanistan,Afghanistan,0,1816-01-01,,1816-01-01,1888-12-30,,1888-12-30,700,700,36,3010,AFG,South Asia,AFG,AFG,,,,,,,,,,004,4,,AFG,,AF,,,142,Asia,034,Southern Asia,,,x,x,,0,,Afghanistan,,
Afghanistan,Afghanistan,Afghanistan,1,1919-05-01,1919-08-08,1919-05-01,2020-12-31,2016-12-31,2020-12-31,700,700,36,3010,AFG,South Asia,AFG,AFG,,,,,,,,,,004,4,,AFG,,AF,,,142,Asia,034,Southern Asia,,,x,x,,0,,Afghanistan,,
"Akrotiri Base, Cyprus","Akrotiri Base, Cyprus",Akrotiri Sovereign Base Area,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,,
Åland Islands,Åland Islands,Åland Islands,0,,,,,,,,,,,,,,,248,2003,Issued a numerical code in 2003,,,,,,,248,248,,ALA,,AX,,2003,150,Europe,154,Northern Europe,,,,,,,,Finland,,
Albania,Albania,"Albania, People's Socialist Republic of",0,1913-01-01,1914-01-01,1913-01-01,1939-04-07,1939-04-07,,339,339,12,4005,ALB,Europe & Central Asia,ALB,ALB,,,,,,,,,,008,8,,ALB,,AL,,,150,Europe,039,Southern Europe,,,,,,0,,Albania,,
Albania,Albania,"Albania, People's Socialist Republic of",1,1944-11-17,1944-11-17,,2020-12-31,2016-12-31,2020-12-31,339,339,12,4005,ALB,Europe & Central Asia,ALB,ALB,,,,,,,,,,008,8,,ALB,,AL,,,150,Europe,039,Southern Europe,,,,,,0,,Albania,,
Alderney,Alderney,Alderney,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,,
Algeria,Algeria,"Algeria, People's Democratic Republic of",0,1816-01-01,,1816-01-01,1830-07-05,,1830-07-05,615,615,103,1010,DZA,Middle East & North Africa,ALG,ALG,,,,,,,,,,012,12,,DZA,,DZ,,,002,Africa,015,Northern Africa,,,,,,0,,Algeria,,
Algeria,Algeria,"Algeria, People's Democratic Republic of",1,1962-07-05,1962-07-05,1962-07-05,2020-12-31,2016-12-31,2020-12-31,615,615,103,1010,DZA,Middle East & North Africa,ALG,ALG,,,,,,,,,,012,12,,DZA,,DZ,,,002,Africa,015,Northern Africa,,,,,,0,,Algeria,,
American Samoa,American Samoa,American Samoa,0,,,,,,,,,,,ASM,East Asia & Pacific,,,,,,,,,,,,016,16,,ASM,,AS,,,009,Oceania,061,Polynesia,,,,,x,,,United States of America,,
