pkey,country,ccode_cow,year,coi_fact_unga,coi_fact_unsc,coi_fact_unhrc,coi_fact_uchr,coi_fact_unsec,coi_fact_ohchr,coi_fact_note
40-1988,Cuba,40,1988,,,,checked,,,CHR: mission
90-1997,Guatemala,90,1997,,,,checked,,,CHR: UN mission
91-2009,Honduras,91,2009,,,checked,,,,HRC: ohchr
93-1989,Nicaragua,93,1989,,checked,,,,,UNSC: monitoring
93-1990,Nicaragua,93,1990,,checked,,,,,
100-2002,Colombia,100,2002,,,,,,checked,OHCHR: ohchr inquiry
101-2019,Venezuela,101,2019,,,checked,,,,HRC: ind fact-finding
101-2020,Venezuela,101,2020,,,checked,,,,
155-1975,Chile,155,1975,,,,checked,,,CHR: ad hoc working
345-1992,Serbia & Montenegro,345,1992,,checked,,,,,UNSC: comm experts
372-1993,Georgia,372,1993,,,,,checked,,UNSEC: fact-finding
432-2013,Mali,432,2013,,,checked,,,,HRC: ohchr
432-2018,Mali,432,2018,,,,,checked,,UNSEC: coi
437-2000,Cote d'Ivoire,437,2000,,,,,checked,,UNSEC: coi
437-2002,Cote d'Ivoire,437,2002,,,,,,checked,OHCHR: fact-finding
437-2004,Cote d'Ivoire,437,2004,,checked,,,,checked,"UNSC: coi
OHCHR: coi"
437-2011,Cote d'Ivoire,437,2011,,,checked,,,,HRC: ind coi
438-2009,Guinea,438,2009,,,,,checked,,UNSEC: coi
450-1993,Liberia,450,1993,,checked,,,,,UNSC: panel inquiry
461-2000,Togo,461,2000,,,,,checked,,UNSEC: coi
461-2005,Togo,461,2005,,,,,,checked,OHCHR: fact-finding
482-2013,Central African Republic,482,2013,,checked,checked,,,,"UNSC: coi
HRC: ohchr"
482-2014,Central African Republic,482,2014,,checked,,,,,
490-1997,"Congo, DRC",490,1997,,,,checked,checked,,"CHR: joint invest mission
UNSEC: invest team"
490-2008,"Congo, DRC",490,2008,,,,,checked,,UNSEC: mapping hrv
490-2018,"Congo, DRC",490,2018,,,checked,,,,HRC: ohchr
490-2019,"Congo, DRC",490,2019,,,checked,,,,
490-2020,"Congo, DRC",490,2020,,,checked,,,,
501-2008,Kenya,501,2008,,,,,,checked,OHCHR: fact-finding
516-1993,Burundi,516,1993,,checked,,,,,UNSC: fact-finding
516-1995,Burundi,516,1995,,checked,,,,,UNSC: coi
516-2015,Burundi,516,2015,,,checked,,,,HRC: ind invest
516-2016,Burundi,516,2016,,,checked,,,,HRC: coi
516-2017,Burundi,516,2017,,,checked,,,,
516-2018,Burundi,516,2018,,,checked,,,,
516-2019,Burundi,516,2019,,,checked,,,,
516-2020,Burundi,516,2020,,,checked,,,,
517-1994,Rwanda,517,1994,,checked,,,,,UNSC: Com experts
517-1995,Rwanda,517,1995,,checked,,,,,UNSC: coi
520-1992,Somalia,520,1992,,checked,,,,,UNSC: coi
520-1993,Somalia,520,1993,,checked,,,,,
531-2014,Eritrea,531,2014,,,checked,,,,HRC: coi
531-2015,Eritrea,531,2015,,,checked,,,,
531-2016,Eritrea,531,2016,,,checked,,,,
560-1985,South Africa,560,1985,checked,,,,,,
560-1986,South Africa,560,1986,checked,,,,,,
560-1987,South Africa,560,1987,checked,,,,,,
560-1988,South Africa,560,1988,checked,,,,,,
591-1981,Seychelles,591,1981,,checked,,,,,UNSC: coi
591-1982,Seychelles,591,1982,,checked,,,,,
591-1983,Seychelles,591,1983,,checked,,,,,
600-2006,Morocco,600,2006,,,,,,checked,OHCHR: ohchr mission
620-2011,Libya,620,2011,,,checked,,,,HRC: coi
620-2012,Libya,620,2012,,,checked,,,,
620-2015,Libya,620,2015,,,checked,,,,HRC: ohchr
620-2016,Libya,620,2016,,,checked,,,,
620-2019,Libya,620,2019,,,checked,,,,HRC: ind fact_finding
620-2020,Libya,620,2020,,,checked,,,,
625-2004,Sudan,625,2004,,checked,,,,checked,"UNSC: coi
OHCHR: fact-finding"
625-2005,Sudan,625,2005,,checked,,,,,
625-2006,Sudan,625,2006,,,checked,,,,HRC: high mission
625-2007,Sudan,625,2007,,,checked,,,,
626-2015,South Sudan,626,2015,,,checked,,,,HRC: ohchr
626-2016,South Sudan,626,2016,,,checked,,,,HRC: UN chr
626-2017,South Sudan,626,2017,,,checked,,,,
626-2018,South Sudan,626,2018,,,checked,,,,
626-2019,South Sudan,626,2019,,,checked,,,,
626-2020,South Sudan,626,2020,,,checked,,,,
645-1991,Iraq,645,1991,,checked,,,,,UNSC: boundary commission
645-1992,Iraq,645,1992,,checked,,,,,
645-1993,Iraq,645,1993,,checked,,,,,
645-1999,Iraq,645,1999,,checked,,,,,UNSC: monitoring
645-2000,Iraq,645,2000,,checked,,,,,
645-2014,Iraq,645,2014,,,checked,,,,HRC: ohchr
645-2015,Iraq,645,2015,,,checked,,,,
645-2017,Iraq,645,2017,,checked,,,,,UNSC: ISIS investigation
645-2018,Iraq,645,2018,,checked,,,,,
652-2011,Syria,652,2011,,,checked,,,,HRC: ohchr
652-2012,Syria,652,2012,,,checked,,,,HRC: ind coi
652-2013,Syria,652,2013,,,checked,,,,
652-2014,Syria,652,2014,,,checked,,,,
652-2015,Syria,652,2015,,,checked,,,,
652-2016,Syria,652,2016,checked,,checked,,,,UNGA: IIIM
652-2017,Syria,652,2017,checked,,checked,,,,
652-2018,Syria,652,2018,checked,,checked,,,,
652-2019,Syria,652,2019,checked,,checked,,,,
652-2020,Syria,652,2020,checked,,checked,,,,
660-2005,Lebanon,660,2005,,checked,,,,,UNSC: IIIC
660-2006,Lebanon,660,2006,,checked,checked,,,,HRC: coi
666-1979,Israel,666,1979,,checked,,,,,UNSC: SC Commission
666-2000,Israel,666,2000,,,,checked,,,CHR: coi
666-2006,Israel,666,2006,,,checked,,,,HRC: hi fact-finding
666-2007,Israel,666,2007,,,checked,,,,
666-2008,Israel,666,2008,,,checked,,,,
666-2009,Israel,666,2009,,,checked,,,,HRC: fact-finding gaza
666-2010,Israel,666,2010,,,checked,,,,HRC: comm of experts / fact-finding
666-2012,Israel,666,2012,,,checked,,,,HRC: fact-finding
666-2013,Israel,666,2013,,,checked,,,,
666-2014,Israel,666,2014,,,checked,,,,HRC: coi
666-2018,Israel,666,2018,,,checked,,,,HRC: coi
666-2019,Israel,666,2019,,,checked,,,,
679-1996,Yemen,679,1996,,,checked,,,,HRC: gr experts
679-1997,Yemen,679,1997,,,checked,,,,
679-1998,Yemen,679,1998,,,checked,,,,
679-1999,Yemen,679,1999,,,checked,,,,
700-1998,Afghanistan,700,1998,,,,,,checked,OHCHR: exploratory mission
700-1999,Afghanistan,700,1999,checked,,,,,,UNGA: ohchr
700-2006,Afghanistan,700,2006,,,,,,checked,OHCHR: conflict mapping
704-2005,Uzbekistan,704,2005,,,,,,checked,OHCHR: ohchr mission
731-2013,North Korea,731,2013,,,checked,,,,HRC: coi
731-2014,North Korea,731,2014,,,checked,,,,
770-2008,Pakistan,770,2008,,checked,,,,,UNSC: coi
770-2009,Pakistan,770,2009,,checked,,,,,
775-2010,Myanmar,775,2010,,,,,checked,,UNSEC: SG panel of experts
775-2017,Myanmar,775,2017,,,checked,,,checked,"HRC: fact-finding
OHCHR: ohchr mission"
775-2018,Myanmar,775,2018,,,checked,,,,HRC: ind. ev mechanism
775-2019,Myanmar,775,2019,,,checked,,,,
775-2020,Myanmar,775,2020,,,checked,,,,
780-2014,Sri Lanka,780,2014,,,checked,,,,HRC: ohchr
780-2015,Sri Lanka,780,2015,,,checked,,,,
790-2009,Nepal,790,2009,,,,,,checked,OHCHR: conflict mapping
811-1998,Cambodia,811,1998,checked,,,,,,UNGA: gr experts
860-2005,Timor-Leste,860,2005,,checked,,,,,UNSC: com of experts
860-2006,Timor-Leste,860,2006,,,,,checked,,UNSEC: coi
