country,ccode,new,ICC_referral,ICC_prelim_exam,ICC_prelimEnd,ICC_investigation,ICC_arrest_warrant,ICC_arrestAppear,ICC_atLarge,ICC_confirm_charges,ICC_proceedings,ICC_proceedEnd,ICC_withdrawnDismissed
Afghanistan,700,1,,2007,,2020,,,,,,,
Bolivia,145,1,2020,2020,2022,,,,,,,,
Burundi,516,1,,2016,,2017,,,,,,,
Central African Republic,482,0,2004,2005,,2007,2008,2008,0,2009,2010,,
Colombia,100,1,,2004,2021,,,,,,,,
Cote d'Ivoire,437,0,2010,2011,,2011,2011,2011,0,2013,2016,2021,2021
DR Congo,490,0,2004,2004,,2004,2006,2006,0,2007,2009,,
Gabon,481,1,,2016,2018,,,,,,,,
Georgia,372,1,,2008,,2016,,,,,,,
Guinea,438,1,,2009,2022,,,,,,,,
Honduras,91,1,,2010,2015,,,,,,,,
Iraq,645,1,,2014,2020,,,,,,,,
Israel,666,1,,2015,,2021,,,,,,,
Kenya,501,0,,2010,,2010,2011,2011,0,2011,2013,2016,2011
Libya,620,0,2011,2011,,2011,2011,,0,,,,2011
Mali,432,0,2012,2012,,2013,2015,2015,0,2016,2016,,
Myanmar,775,1,,2018,,2019,,,,,,,
Nigeria,475,1,,2010,2020,,,,,,,,
Philippines,840,1,,2018,,2021,,,,,,,
South Korea,732,1,,2010,2014,,,,,,,,
Rwanda,517,0,2004,2004,,2004,2010,2011,0,2011,,,2011
Sudan,625,0,2005,2005,,2005,2007,2009,0,2010,2022,,2010
Uganda,500,0,2003,2004,,2005,2005,2015,0,2016,2016,,2007
Ukraine,369,1,,2014,,2022,,,,,,,
Venezuela,101,1,,2018,,2021,,,,,,,
