tables,section,order,col_name,definition,source_abr,year_first,year_last
CountryYears,,,cyID,unique country-year ID and primary key for CountryYears table,,,
"CountryYears, Countries",,,ccode,Correlates of War numerical country code,,,
"CountryYears, Countries",,,ccode_case,Correlates of War numerical country code adjusted to using only the 2020 map for use in map filtering,,,
"CountryYears, Countries",,,ccode_ksg,Gleditsch & Ward numerical country code for use with CShapes & UCDP datasets,,,
"CountryYears, Countries",,,country,Historical country name; also primary key in Countries table,,,
CountryYears,,,year,year of observation,,,
"CountryYears, Countries",,,region,United Nations top-level region identifier for use in map filtering,UNSD M49,,
CountryYears,,,regime,categorical regime context variable; see below for binary versions,,,
CountryYears,,,reg_trans,binary: 1 = countries with democratic transitions at some point during 1970-2020,,,
CountryYears,,,reg_democ,binary: 1 = countries with long-established democratic regimes at some point during 1970-2020,,,
CountryYears,,,reg_autoc,"binary: 1 = non-transitional countries with autocratic or authoritarian regimes during 1970-2020 (residual category, i.e. those that are not inlcuded in reg_trans or reg_democ)",,,
CountryYears,,,conflict,binary: 1 = countries with armed conflict during 1970-2020 (25 battle-related deaths threshold),,,
CountryYears,,,amnesties,count of amnesties per country and year of passing,TJET,1970,2020
CountryYears,,,amnesties_SGBV,"binary for whether amnesties for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,trials_domestic,count of domestic trials per country (by nationality of the accused) and start year,TJET,1970,2020
CountryYears,,,trials_domestic_SGBV,"binary for whether domestic trials for country-year (by nationality of the accused) included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,trials_intl,count of international (incl. hybrid) trials per country (by nationality of the accused) and start year,TJET,1970,2020
CountryYears,,,trials_intl_SGBV,"binary for whether international (incl. hybrid) trials for country-year (by nationality of the accused) included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,trials_foreign,count of foreign trials per country (by nationality of the accused) and start year,TJET,1970,2020
CountryYears,,,trials_foreign_SGBV,"binary for whether foreign trials for country-year (by nationality of the accused) included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,reparations,count of reparations polices per country and year of creation,TJET,1970,2020
CountryYears,,,reparations_SGBV,"binary for whether reparations for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,tcs,count of truth commissions per country and year of creation,TJET,1970,2020
CountryYears,,,tcs_SGBV,"binary for whether truth commissions for country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,1970,2020
CountryYears,,,vettings,count of vetting policies per country and year of creation,TJET,1970,2020
"CountryYears, Countries",,,tjet_focus,TJET focus country (i.e. there will be a more detailed country case study) ,TJET,1970,2020
Countries,,,beg,first year in TJET dataset,,,
Countries,,,end,last year in TJET dataset,,,
Countries,,,region_sub_un,United Nations detailed regions identifier; combination of intermediate and sub-region categories,UNSD M49,,
Countries,,,region_wb,World Bank region identifier,,,
tjet_cy,,,lag_*,variable lagged by one year,TJET,1971,2021
tjet_cy,identifiers,,country,country name,,,
tjet_cy,identifiers,,country_fr,country name in French,,,
tjet_cy,identifiers,,country_case,country continuity (ID for panel data analyses),TJET,,
tjet_cy,identifiers,,country_case_fr,country continuity in French,TJET,,
tjet_cy,identifiers,,year,year of observation,,,
tjet_cy,identifiers,,ccode_cow,Correlates of War country code,COW,,
tjet_cy,identifiers,,ccode_ksg,Gleditsch & Ward country code,Kristian S. Gleditsch,,
tjet_cy,identifiers,,country_id_vdem,VDem country code,VDem,,
tjet_cy,,,country_name,VDem country name,VDem,,
tjet_cy,identifiers,,m49,M49 / ISO 3166 numeric country code,UNSD M49,,
tjet_cy,identifiers,,isoa3,ISO 3166 alpha3 country code,UNSD M49,,
tjet_cy,,,cid_wb,World Bank alpha3 country code,World Bank,,
tjet_cy,identifiers,,region,United Nations region,UNSD M49,,
tjet_cy,identifiers,,subregion,United Nations sub-region,UNSD M49,,
tjet_cy,identifiers,,intregion,United Nations intermediate region,UNSD M49,,
tjet_cy,identifiers,,region_sub_un,United Nations detailed regions identifier; combination of intermediate and sub-region categories,UNSD M49,,
tjet_cy,identifiers,,region_wb,World Bank region,World Bank,,
tjet_cy,identifiers,,micro_ksg,Gleditsch & Ward micro-state ,Kristian S. Gleditsch,,
tjet_cy,,,state_age,state age,TJET,,
tjet_cy,regime,,reg_type_vdem,"VDem ERT regime type (autocracy, democracy)",VDem ERT,,
tjet_cy,regime,,reg_age_vdem,regime age based on VDem ERT regime type,TJET,,
tjet_cy,regime,,reg_start_year_vdem,regime begin year,VDem ERT,,
tjet_cy,regime,,reg_end_year_vdem,regine end year,VDem ERT,,
tjet_cy,regime,,reg_trans_vdem,regime transition,VDem ERT,,
tjet_cy,regime,,dem_spell_id_vdem,demoracy spell ID based on VDem ERT regime type,TJET,,
tjet_cy,regime,,dem_reversion,categorical democratic reversion measure coded by TJET based on VDem ERT transitions and changes in the VDem Regimes of the World measure,TJET,,
tjet_cy,regime,,v2x_regime_ert,"VDem Regimes of the World measure (closed autocracy, electoral autocracy, electoral democracy, liberal democracy) ",VDem ERT,,
tjet_cy,,,reg_anoc,anocracy (electoral autocracy or democracy),VDem ERT,,
tjet_cy,,,reg_chg,regime change,VDem ERT & TJET,,
tjet_cy,,,transition,first year of democratic transition,TJET,,
tjet_cy,sample indicators,,dtr,"democratic transition sample, binary",TJET,,
tjet_cy,sample indicators,,aco_25,"conflict & post-conflict sample, binary, 25 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,dco_25,"during conflict sample, binary, 25 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,pco_25,"after conflict sample, binary, 25 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,aco_100,"conflict & post-conflict sample, binary, 100 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,dco_100,"during conflict sample, binary, 100 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,pco_100,"after conflict sample, binary, 100 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,aco_1000,"conflict & post-conflict sample, binary, 1000 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,dco_1000,"during conflict sample, binary, 1000 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,pco_1000,"after conflict sample, binary, 1000 battle deaths or more over conflict episode",TJET,,
tjet_cy,sample indicators,,peace_spell_25,"peace spell identifier, based on cumulative 25 deaths threshold during episode",TJET,,
tjet_cy,sample indicators,,peace_spell_100,"peace spell identifier, based on cumulative 100 deaths threshold during episode",TJET,,
tjet_cy,sample indicators,,peace_spell_1000,"peace spell identifier, based on cumulative 1000 deaths threshold during episode",TJET,,
tjet_cy,sample indicators,,amnesties_sample,"country-years from first year with any amnesties, binary",TJET,,
tjet_cy,sample indicators,,reparations_sample,"country-years from first year with any reparations policies, binary",TJET,,
tjet_cy,sample indicators,,tcs_sample,"country-years from first year with any truth commissions, binary",TJET,,
tjet_cy,sample indicators,,trials_domestic_sample,"country-years from first year with any domestic human rights or conflict prosecutions, binary",TJET,,
tjet_cy,sample indicators,,vettings_sample,"country-years from first year with any vetting policies, binary",TJET,,
tjet_cy,sample indicators,,tj_yr_zero,"year when transitional justice was first initiated, binary based on when prosecutions of high-ranking defendants, public truth commissions, lustration or reparation policies started in a country",TJET,,
tjet_cy,website map: amnesties,,amnesties,count of amnesties per country and year of passing,TJET,,
tjet_cy,website map: amnesties,,amnesties_SGBV,"binary for whether amnesties in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,"website map: prosecutions, domestic",,trials_domestic,"count of domestic trials per country and start year, by country of the accused",TJET,,
tjet_cy,"website map: prosecutions, domestic",,trials_domestic_SGBV,"binary for whether domestic trials in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,"website map: prosecutions, foreign",,trials_foreign,"count of foreign trials per country and start year, by country of the accused",TJET,,
tjet_cy,"website map: prosecutions, foreign",,trials_foreign_SGBV,"binary for whether foreign trials in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,"website map: prosecutions, int'l & hybrid",,trials_intl,"count of international and hydrid trials per country and start year, by country of the accused",TJET,,
tjet_cy,"website map: prosecutions, int'l & hybrid",,trials_intl_SGBV,"binary for whether international and hydrid trials in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,website map: reparations,,reparations,count of reparations polices per country and year of creation,TJET,,
tjet_cy,website map: reparations,,reparations_SGBV,"binary for whether reparations in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,website map: truth commissions,,tcs,count of truth commissions per country and year of creation,TJET,,
tjet_cy,website map: truth commissions,,tcs_SGBV,"binary for whether truth commissions in country-year included any that addressed SGBV (1 = yes, 0 = no) ",TJET,,
tjet_cy,website map: vettings,,vettings,count of vetting policies per country and year of creation,TJET,,
tjet_cy,amnesties,,amnesty_dtj_sta,"amnesties for state agents with post-autocratic transitional justice nexus, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_dtj_ctj_sta,"amnesties for state agents with post-autocratic and conflict transitional justice nexus, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_dtj_ctj_opp,"amnesties for armed opposition members with post-autocratic and conflict transitional justice nexus, count",TJET,1970,2020
