Source,Translation
95% Confidence Interval,Intervalle de confiance à 95
About,À propos
Access to Regular Accountability,Accès à une responsabilisation régulière
Access to Regular Accountability Index,Indice de l'accès à une responsabilisation régulière
Access to Regular Accountability Index Rank,Classement de l'indice de l'accès à une responsabilisation régulière
Accessibility,Accessibilité
Accused,Accusés
Accused ID,Identifiant de l'accusé
Accused Records,Dossiers des accusés
Acknowledgments,Remerciements
Africa (excl. North Africa),Afrique (hors Afrique du Nord)
All,Tous
Americas,Amériques
Amnesties,Amnisties
Amnesty,Amnistie
Analysis,Analyse
Announcements,Annonces
Armed Opposition,Opposition armée
Asia,Asie
Autocracy,Autocratie
Brief,Synthèse
Clear All Filters,Effacer tous les filtres
Click,Cliquez
Click on accused records for data on convictions,Cliquez sur les dossiers d'accusés pour obtenir des données sur les condamnations
Coding Sources,Sources de codage
Collect Evidence,Recueillir des éléments de preuve
Confidence Interval,Intervalle de confiance
Conflict,Conflit
Conflict Background,Contexte du conflit
Conflict ID,Identifiant du conflit
Context,Contexte
Contexts,Contextes
Count,Nombre
Count of amnesties in selected data sample,Nombre d'amnisties dans l'échantillon de données sélectionné
Count of domestic criminal trials in selected data sample by nationality of the accused individuals,"Nombre de procès pénaux domestiques dans l'échantillon de données sélectionné, par nationalité des accusés"
Count of foreign and universal jurisdiction criminal trials in selected data sample by nationality of the accused individuals,"Nombre de procès pénaux étrangers et de compétence universelle dans l'échantillon de données sélectionné, par nationalité des accusés"
Count of international or hybrid criminal trials in selected data sample by nationality of the accused individuals,"Nombre de procès pénaux internationaux ou hybrides dans l'échantillon de données sélectionné, par nationalité des accusés"
Count of reparations policies in selected data sample,Nombre de politiques de réparation dans l'échantillon de données sélectionné
Count of truth commissions in selected data sample,Nombre de commissions de vérité dans l'échantillon de données sélectionné
Count of vetting policies in selected data sample,Nombre de politiques de filtrage dans l'échantillon de données sélectionné
Countries,Pays
Country,Pays
Country in selected data sample,Pays dans l'échantillon de données sélectionné
Country-year dataset,Ensemble de données par pays-année
Criminal Trial,Procès pénal
Criminal Trials,Procès pénaux
dark,sombre
Data,Données
Data Downloads,Téléchargements de données
Data sources and years on which transition coding is based,Sources de données et années sur lesquelles le codage de transition est basé
Data up to,Données jusqu'en
Democracy,Démocratie
Democratic Transition,Transition démocratique
Democratic Transition Year,Année de transition démocratique
Description,Description
Did the investigation aim to collect evidence for possible future prosecutions?,L'enquête visait-elle à recueillir des éléments de preuve en vue d'éventuelles poursuites ultérieures?
Did the investigation aim to encourage prosecutions?,L'enquête visait-elle à encourager les poursuites?
Did the investigation aim to support international prosecutions?,L'enquête visait-elle à soutenir les poursuites internationales?
"Did the truth commission issue a final report? If available, an electronic copy is hyperlinked","La commission de vérité a-t-elle publié un rapport final? Si disponible, une copie électronique est disponible en hyperlien"
Did this reparation policy specifically address sexual or gender-based justice?,Cette politique de réparation traite-t-elle spécifiquement de la justice sexuelle ou sexiste?
Did this trial involve charges of sexual or gender-based violence?,Le procès portait-il sur des accusations de violence sexuelle ou sexiste?
Documents,Documents
Domestic Trial,Procès domestique
Domestic Trials,Procès domestiques
Download Country Data,Télécharger les données du pays
Download the country-year dataset filtered to your selections,Télécharger l'ensemble des données par pays-année filtrées selon vos sélections
Downloads,Téléchargements
Dyad ID,Identifiant de la dyade
Encourage Domestic Prosecutions,Encourager les poursuites nationales
Episode Years,Épisode Années
Europe,Europe
Ever Convicted,Déjà fait l'objet d'une condamnation
Expand/collapse responses,Dérouler / réduire les réponses
Export Selected Data,Exporter les données sélectionnées
Field,Champ de données
"For attribution, please cite this survey as","Pour l'attribution, veuillez citer cette enquête comme suit"
Foreign Trial,Procès étranger
Foreign Trials,Procès étrangers
From,De
High Rank,Rang élevé
Hover over column labels for definitions,Survolez les étiquettes des colonnes pour obtenir des définitions
Human Rights,Droits de la personne
ID,Identifiant
identification number,numéro d'identification
Indended Recipients,Bénéficiaires désignés
Index,Indice
International Trial,Procès international
International Trials,Procès internationaux
Intra-State Conflict,Conflit intra-étatique
Legacy of Violence,Héritage de la violence
Legacy of Violence Index,Indice de l'héritage de la violence
Legacy of Violence Index Rank,Classement de l'indice de l'héritage de la violence
Legal,Droits
light,clair
Limit to Mechanisms Addressing SGBV,Limite des mécanismes de lutte contre la violence sexuelle et sexiste
Mandate,Mandat
Map,Carte
Map from 2020,Carte de l'année 2020
Map of 2020 - Table of selected mechanisms below,Carte de l'année 2020 - Tableau des mécanismes sélectionnés ci-dessous
Mechanism,Mécanisme
Mechanisms,Mécanismes
MENA (Middle East and North Africa),Moyen-Orient et Afrique du Nord
Methods,Méthodes
Name,Nom
Name and/or description of the amnesty,Nom et/ou description de l'amnistie
Name or Description,Nom ou description
Name or description of the accused,Nom ou description de l'accusé
Name or description of the reparations policy,Nom ou description de la politique de réparation
Name or description of the truth commission,Nom ou description de la commission de vérité
Name or description of the vetting policy,Nom ou description de la politique de filtrage
Navigate the front page to explore key country-level transitional justice information,Naviguer sur la page d'accueil pour explorer les informations clés sur la justice transitionnelle au niveau des pays
Non-Transitional Autocracy,Autocratie non transitoire
Non-Transitional Democracy,Démocratie non transitoire
Number,Nombre
Number of accused records for trial (expand for more detail),Nombre de dossiers d'accusés pour le procès (développer pour plus de détails)
Number of instances mechanism began between 1970 and 2020,Nombre de cas où le mécanisme a commencé entre 1970 et 2020
Oceania,Océanie
On this page,Sur cette page
Only Policies Addressing SGBV,Seules politiques relatives à la violence sexuelle et basée sur le genre
Organized armed group fighting against the government,Groupe armé organisé luttant contre le gouvernement
Our Mission,Notre mission
Page Not Found,Page non trouvée
People,Personnes
Perception Surveys,Enquêtes de perception
Policy Briefs,Notes de synthèse
Predecessor country in parentheses,Pays prédécesseur entre parenthèses
Privacy,Confidentialité
Project,Projet
Publications,Publications
Question,Question
Range of years when mechanism was initiated,Période d'années pour la mise en place du mécanisme
Rank,Classement
Recipients,Bénéficiaires
Reference Library,Bibliothèque de référence
Regime Background,Contexte du régime
Regions,Régions
Reparations,Politique de réparation
Reparations Policies,Politiques de réparation
Reparations Policy,Politique de réparation
Report,Rapport
Research,Recherche
Reset Zoom,Réinitialiser le zoom
Responses,Réponses
Results,Résultats
Scale of Intra-State Violence,Échelle de la violence intra-étatique
Section,Section
Select All Filters,Sélectionner tous les filtres
Select Data,Sélectionner les données
SGBV,VSBG
Show More,Afficher plus
Source,Source
Sources,Sources
State Agent,Agent de l'État
Support International Prosecutions,Soutenir les poursuites internationales
Survey Section,Section d'enquête
Table,Tableau
Table of selected mechanisms below,Tableau des mécanismes sélectionnés ci-dessous
Tags,Tags
Targets,Personnes visées
Team,Équipe
Terms of Use,Conditions d'utilisation
Time Period,Période de temps
TJET Accused ID,Numéro d'identification de l'accusé TJET
TJET Amnesty ID,Numéro d'identification de l'amnistie TJET
TJET Data,Données TJET
TJET Reparation ID,Numéro d'identification de la réparation TJET
TJET Transition ID,Numéro d'identification de la transition TJET
TJET Trial ID,Numéro d'identification du procès TJET
TJET Truth Commission ID,Numéro d'identification de la commission de vérité TJET
TJET Vetting ID,Numéro d'identification de la politique de filtrage TJET
To,À
Transitional Justice,Justice transitionnelle
Transitional Justice Evaluation Tools,Outils d'évaluation de la justice transitionnelle
Transitional Justice Evaluation Tools Homepage,Page d'accueil de Transitional Justice Evaluation Tools
Transitional Justice Evaluation Tools Homepage: navigate this page to explore key country-level transitional justice information,Page d'accueil de Transitional Justice Evaluation Tools: naviguer sur cette page pour explorer les informations clés sur la justice transitionnelle au niveau des pays
Transitional justice mechanism or policy (Click to show timeline),Mécanisme ou politique de justice transitionnelle (Cliquer pour afficher la chronologie)
Transitional Justice Perception Survey Data,Données des enquêtes sur la perception de la justice transitionnelle
Transitional Justice Perception Surveys,Enquêtes sur la perception de la justice transitionnelle
Trial,Procès
Trial description,Description du procès pénal
Trial Type,Type de procès
Truth Commission,Commission de vérité
Truth Commissions,Commissions de vérité
"Type of trial (domestic, international, hybrid, or foreign)","Type de procès (domestique, international, hybride ou étranger)"
UCDP Conflict ID,UCDP Identifiant du conflit
UCDP Dyad ID,UCDP Identifiant de la dyade
UCDP Dyadic Dataset version 23.1,UCDP Dyadic Dataset version 23.1
UCDP intensity classification: conflict (at least 25 battle-related deaths per year) or war (at least 1000 battle-related deaths per year),Classification de l'intensité du UCDP: conflit (au moins 25 morts au combat par an) ou guerre (au moins 1000 morts au combat par an)
undefined,non défini
Vetting,Procédure de filtrage
Vetting Policies,Politiques de filtrage
Vetting Policy,Politique de filtrage
Vettings,Procédures de filtrage
View Country Profile,Voir le profil du pays
View TJET Focus Countries,Voir les pays cibles de TJET
Was the accused a state agent?,L'accusé était-il un agent de l'État?
Was the accused ever convicted in this trial?,L'accusé a-t-il été condamné dans ce procès?
Was the accused of high rank?,L'accusé était-il de haut rang?
Was this amnesty passed in a context of democratic transition or conflict?,Cette amnistie a-t-elle été adoptée dans un contexte de transition démocratique ou de conflit?
Was this post-autocratic transitional justice or conflict justice?,S'agit-il d'une justice transitionnelle post-autocratique ou d'une justice de conflit?
Was this truth commission mandated to address sexual or gender-based violence?,Cette commission de vérité a-t-elle été mandatée pour s'occuper des violences sexuelles ou sexistes?
Which institutional actors were targeted in the vetting policy?,Quels sont les acteurs institutionnels visés par la politique de filtrage?
Who were the intended recipients of the reparations policy?,Qui étaient les destinataires de la politique de réparation?
Who were the intended recipients of this reparations policy?,Qui étaient les destinataires de cette politique de réparation?
Year,Année
