col_name,definition
accusedID,TJET Accused ID
trialID,TJET Trial ID
name,name of the accused
position_desc,"description of the accused (position rank, title, role, etc)"
position_desc_fr,description of the accused (French)
accusedNotes,notes on the accused
ethnicityAccused,ethnicity of accused
stateAgent,Was the accused a state agent?
currentStateAgent,Is this individual currently a state agent? (within the last year of coding)
membership,state membership: in what capacity did the state agent act?
opposedToGovernment,Was this person opposed to the government?
oppositionType,opposition type
highRank,Was this a high-ranking individual?
headOfState,Was this individual the head of state at the time of the crime?
prosecutorType,prosecutor type
charges,charges description
chargesUnknown,charges: none reported
atrocity,charges: atrocity
murderKilling,charges: murder or killing
torture,charges: torture
illegalImprisonment,charges: illegal imprisonment
disappearance,charges: disappearance
chargesOther,charges: other
unknown,preliminary trial process: none reported
indictments,preliminary trial process: indictments
arrests,preliminary trial process: arrests
extradition,preliminary trial process: extradition
countryExtradition,country from which extradition was sought
detention,preliminary trial process: detention
other,preliminary trial process: other
statuteAmnestyCircumvented,statute or amnesty circumvented
laterPardonedAmnestied,Was this person later pardoned or amnestied?
trialRelevantInfo,other relevant information about the trial
certainty,How much certainty did coders have in coding this accused?
SGBV,charges: sexual or gender-based violence
rape,charges: rape
sexualViolence,charges: sexual violence (other than rape)
RSV,charges: rape or sexual violence
otherSGBV,other SGBV
maleVictim,SGBV: male victim
childVictim,SGBV: child victim
LGBTQvictim,SGBV: LGBTQ victim
ICC_referral,year in which country situation was referred to the ICC
ICC_prelim_exam,year in which preliminary ICC examination began
ICC_investigation,year in which ICC investigation began
ICC_arrest_warrant,year in which ICC arrest warrant was issued
ICC_arrestAppear,year of court appearance of accused
ICC_confirm_charges,year in which ICC trial chamber confirmed charges
ICC_proceedings,year in which ICC proceedings began
ICC_atLarge,accused with ICC arrest warrant is at large
ICC_withdrawnDismissed,year in which ICC charges were dismissed or withdrawn
everGuilty,Was the accused ever convicted in this trial?
firstGuiltyYear,year in which the accused was first found guilty
lastGuilty,Was the accused found guilty in the last verdict of the proceedings?
lastGuiltyYear,year of last guilty verdict
lastVerdict,final verdict in the proceedings for the accused
lastVerdictYear,year of final verdict
lastSentencingTime,detention time of last sentencing verdict for the accused
lastSentencingArrangement,sentencing arrangement of the last verdict
tjet_version,TJET database version: date on which data was extracted from the database
