col_name,definition
amnestyID,TJET Amnesty ID
country,country name
ccode_cow,COW numeric country code
amnestyYear,year the amnesty was passed or announced
yearOngoing,last known year when amnesty still applies
mechanismDescription,name and/or description of the amnesty
mechanismDescription_fr,name and/or description of the amnesty (French)
amnestyName,official name of amnesty law or proclamation
start_date,date of amnesty passage
enactedHow,How was the amnesty enacted?
narrative,explanation of the amnesty law
whoWasAmnestied,Which actors were amnestied?
stateAgents,Which state agents were offered amnesty?
oppRank,Which members of the armed opposition were offered amnesty?
selfAmnesty,Could this be considered a self-amnesty?
qualifyingProcess,What actions did subjects have to take to qualify for amnesty?
whatCrimes,What crimes were amnestied?
blanket,Could this be considered a blanket amnesty?
hrCrimes,How did this amnesty relate to human rights?
SGBV,Did the amnesty cover sexual or gender-based violence?
startedDemocraticTransitionBefore,Did this country start a democratic transition at some point before or immediately after this amnesty?
fitsPostAutocraticTJ,Did this case fit the definition of post-autocratic amnesty?
startedIntraConflbefore,Did this country start an intra-state conflict at some point before this amnesty?
fitsConflictTJ,Did this case fit the definition of a conflict amnesty?
ucdpConflictID,UCDP Conflict ID
ucdpDyadID,UCDP Dyad ID
dcj,Was this amnesty passed during the intra-state conflict?
pcj,Was this amnesty passed after the intra-state conflict?
peaceSettlement,Was the amnesty part of a peace settlement?
mediation,Was the peace settlement mediated?
tjet_version,TJET database version: date on which data was extracted from the database
