col_name,definition
CLID,TJET court level record ID
accusedID,TJET Accused ID
courtLevel,court level at which outcome occurred
courtName,name of the court at which outcome occurred
year,year
month,month
day,day of month
date,date of court level event
last_fx,Was this the last relevant trial event of these proceedings for the purpose of identifying outcomes/rulings?
verdict,verdict or trial outcome
guilty,Was it a guilty verdict?
sentence,sentence of the verdict
sentencingTime,sentencing time
sentencingArrangement,sentencing arrangement
sentenceNotes,sentencing notes
tjet_version,TJET database version: date on which data was extracted from the database
