reparationID,country,ccode_cow,officialName,officialName_en,officialName_en_fr,timeframeCovered,legalBasis,legalInternationalBody,legalBranches,subnational,yearCreated,dateCreated,yearBegin,dateBegin,yearEnd,dateEnd,yearEndAnticipated,statedAims,policyURL,democraticTransitionStarted,fitsPostAutocraticTJ,startedIntraConfl,fitsConflictTJ,ucdpConflictID,reparationConflictDuring,reparationConflictAfter,beneficiariesIdentified,beneficiariesCount,requirementsRegistration,responsibleDepartment,departmentName,departmentStaff,staffCount,funding,harmsMurder,harmsTorture,harmsDetention,harmsDisappearance,harmsChildRecruitment,harmsDisplacement,harmsSexualViolence,sexualViolenceType,harmsOther,genderCrimes,genderWomen,genderMen,lgbtqCrimes,typeInjury,individualReparations,individualReparationsForm,individualReparationsEligible,collectiveReparations,collectiveReparationsForm,collectiveReparationsEligibility,diffAmount,foreclose,outreach,accessibility,rep_paid,individualsRepaired,individualsRepairedEstimate,costEstimate,alteration,alterationName,alterationYear,alterationEffect,tjet_version
81,Albania,339,Law 9235: On Restitution and Compensation of Property,Law 9235: On Restitution and Compensation of Property,Loi 9235 : Sur la restitution et l'indemnisation des biens,11/29/1944 - present,domestic law,,legislative act,no,2004,2004-07-29,2004,,,,,restitution; compensation,https://reparations.qub.ac.uk/assets/uploads/2004-Albania-Law-on-Restitution-and-Comepnsation-of-Property.pdf,1,1,0,0,,0,0,application process,56000,yes,yes,Property Restitution and Compensation Agency; later: Agency of Property Treatment,yes,,state government,0,0,0,0,0,1,0,,1,no,,,no,"economic (loss of income, job/employment, assets, or property resulting from violations)",yes,"compensation (monetary compensation for any economically assessable damage); restitution (UNGA: ""restore the victim to the original situation before the gross violations of international human rights law or serious violations of international humanitarian law occurred"")",victims,no,,,yes,don't know,no,,1,15874,15874,1994932608 ALL,yes,For the Treatment of the Property and the Completion of the Process of Property Compensation,2016,expanded reparations policy,2025-12-16
147,Albania,339,Law No. 9831/2007: For the Compensation of Former Politically Prosecuted by Communist Regime,Law No. 9831/2007: For the Compensation of Former Politically Prosecuted by Communist Regime,Loi n° 9831/2007 : Pour l'indemnisation des anciens responsables politiques poursuivis par le régime communiste,1944-1991,domestic law,,legislative act,no,2007,2007-11-12,2009,,2023,,,compensation,,1,1,0,0,,0,0,application process,100000,yes,don't know,,,,state government,1,1,1,0,0,0,0,,0,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),victims,no,,,yes,don't know,don't know,,1,27386,27386,"USD $11,499,760.32",,,,,2025-12-16
65,Algeria,615,"Presidential Decree 05-278 and Ordinance No. 06-01 of 2006, Decree Implementing the Charter for Peace and National Reconciliation","Ordinance No. 06-01, Decree Implementing the Charter for Peace and National Reconciliation","Ordonnance n° 06-01, Décret d'application de la Charte pour la paix et la réconciliation nationale",1990-2002,domestic law,,executive; legislative act,no,2006,2006-02-27,2006,,2012,,,non-recurrence / non-repetition; compensation; coexistence,https://www.usip.org/sites/default/files/file/resources/collections/commissions/Algeria-Charter_ordinance06-02.pdf,0,0,1,1,386,1,0,list of victims in the truth commission or recognized truth process,2640,yes,,,,,state government,0,0,0,1,0,0,0,,1,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims,no,,,no,yes,no,,1,2640,2640,USD $37 million,no,,,,2025-12-16
54,Argentina,160,Ley 23.466: Otórgase una pensión no contributiva a familiares de personas desaparecidas,Law 23.466: Non-contributory pension granted to relatives of missing persons,Loi 23.466 : pension non contributive accordée aux parents des personnes disparues,"Before December 10, 1983",domestic law,,legislative act,no,1986,1986-10-30,1986,1986-12-10,,,,compensation,http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/63251/norma.htm,1,1,1,0,,0,0,list of victims in the truth commission or recognized truth process,23358,yes,yes,Ministry of Justice and Human Rights,yes,1470,state government,0,0,0,1,0,0,0,,0,no,,,no,"economic (loss of income, job/employment, assets, or property resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims,no,,,no,no,no,,1,7785,7785,USD 1.9 billion,don't know,,,,2025-12-16
144,Argentina,160,Decreto 70/91,Decree 70/91,Décret 70/91,"Before December 10, 1983",domestic law,,executive,no,1991,1991-01-10,1991,1991-01-10,1994,,,compensation,https://servicios.infoleg.gob.ar/infolegInternet/anexos/5000-9999/5378/norma.htm,1,1,1,0,,0,0,application process,23358,yes,yes,"Ministry of Justice, Security, and Human Rights",yes,1470,state government,0,1,1,0,0,0,0,,0,don't know,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims; victims,no,,,yes,yes,no,,1,12939,12939,1.17 billion pesos (in 1994),no,Law 24.043 and Law 26.564,1992,expanded reparations policy,2025-12-16
56,Argentina,160,"Ley 24.411: Beneficios que tendrán derecho a percibir por medio de sus causahabientes, personas que se encuentren en tal situación","Law 24.411: Benefits that persons in such situation will be entitled to receive through their successors in title (supported by Law 24.321, amended by Law 24.823 and extended by Law 26.564)","Loi 24.411 : Prestations que les personnes se trouvant dans cette situation pourront recevoir par l'intermédiaire de leurs ayants droit (soutenue par la loi 24.321, modifiée par la loi 24.823 et étendue par la loi 26.564)","Before December 10, 1983",domestic law,,legislative act,no,1994,1994-12-07,1994,1994-12-28,2002,,,compensation,https://www.acnur.org/fileadmin/Documentos/BDL/2002/3056.pdf,1,1,1,0,,0,0,application process; list of victims in the truth commission or recognized truth process,23358,yes,yes,Ministry of Justice and Human Rights,yes,1470,state government,1,0,0,1,0,0,0,,0,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations); economic (loss of income, job/employment, assets, or property resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims,no,,,no,don't know,no,,1,8540,8540,USD 1.78 billion pesos,yes,Law 24.823 (‘mending-patch law) and Law 26.564,1997,expanded reparations policy,2025-12-16
5,Argentina,160,"Ley 25.914: Establish benefits for persons who were born during the deprivation of liberty of their mothers, or who, being minors, were detained in relation to their parents, provided that any of them had been detained and/or disappeared for political reasons, either at the disposal of the National Executive Power and/or military courts","Law 25.914: Establish benefits for persons who were born during the deprivation of liberty of their mothers, or who, being minors, were detained in relation to their parents, provided that any of them had been detained and/or disappeared for political reasons, either at the disposal of the National Executive Power and/or military courts","Loi 25.914 : Établir des prestations pour les personnes qui sont nées pendant la privation de liberté de leur mère ou qui, mineures, ont été détenues en relation avec leurs parents, à condition que l'un ou l'autre ait été détenu et/ou ait disparu pour des raisons politiques, soit à la disposition du pouvoir exécutif national et/ou des tribunaux militaires","Before December 10, 1983",domestic law,,legislative act,no,2004,2004-08-30,2004,,2018,,,compensation,https://reparations.qub.ac.uk/assets/uploads/2004-Law-25.914-Indemnities-for-children-born-during-deprivation-of-liberty-of-their-mothers-and-or-disappeared-for-political-reasons-English-Unofficial-Translation.pdf,1,1,1,0,,0,0,application process,4435,yes,yes,"Secretariat for Human and Social Rights, a branch of the Ministry of Justice, Security, and Human Rights",,,state government,0,0,1,1,0,0,0,,0,yes,yes,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims; victims,no,,,yes,yes,don't know,,1,4435,4435,,no,,,,2025-12-16
143,Argentina,160,Ley 26.913: Ex Presos Políticos de la República Argentina. Pensiones,Law 26.913: Former Political Prisoners of the Argentine Republic. Pensions,Loi 26.913 : Anciens prisonniers politiques de la République argentine. Pensions,"Before December 10, 1983",domestic law,,legislative act,no,2013,2013-11-27,2013,2013-12-16,2024,,,compensation,,1,1,1,0,,0,0,application process,6672,yes,yes,"Under this law, former political prisoners who were subjected to human rights abuses, including torture, forced disappearance, and extrajudicial execution, were eligible for reparations, including economic compensation, access to healthcare and psychological support, and other forms of assistance.",,,state government,1,1,1,1,1,1,0,,0,don't know,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims; victims,no,,,yes,yes,no,,1,"As of April 2024, the Justice minister put a stop to the reparations payment to crack down on abuses.",6672,,no,,,,2025-12-16
124,Australia,900,Tasmania Stolen Generations Reparations Scheme,Tasmania Stolen Generations Reparations Scheme,Programme de réparation pour les générations volées en Tasmanie,1935-1975,domestic law,,legislative act,yes,2006,2006-12-18,2007,2007-01-15,2007,2007-07-15,,no stated goals,https://www.legislation.tas.gov.au/view/html/inforce/current/act-2006-034,0,0,0,0,,0,0,application process,151,yes,yes,Office of the Stolen Generations Assessor (Ray Groom) housed under the Department of Premier and Cabinet,yes,2,state government,0,0,0,0,0,0,0,,1,no,,,no,"mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims; victims,no,,,yes,no,yes,confidentiality provisions for sensitive topics like sexual and gender-based violence,1,106,106,A$5 million,no,,,,2025-12-16
123,Australia,900,Stolen Generations Reparations Scheme,Stolen Generations Reparations Scheme,Programme de réparation pour les générations volées,"Before December 31, 1975",domestic law,,executive,yes,2015,2015-11-19,2016,2016-03-31,2017,2017-03-31,,reconciliation,https://www.agd.sa.gov.au/aboriginal-affairs-and-reconciliation/reconciliation/stolen-generations-reparations-scheme,0,0,0,0,,0,0,application process,449,yes,yes,Independent Assessor,yes,2,state government,0,0,0,0,0,0,0,,1,no,,,no,"mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage); other,victims,yes,collective compensation (lump sum provided to a community),"experience-based community (group of individuals who share a historical experience); violation-based community (group of individuals who suffered the same form of human rights violation); social identity-based community (group of individuals who share a cultural, ethnic, racial, or other identity)",no,yes,yes,case worker services or other application assistance available,1,343 (A$9 million spent on individual reparations),343,A$11 million,yes,"No official name, just a request by the Independent Assessor to the Minister for Aboriginal Affairs and Reconciliation.",,expanded reparations policy,2025-12-16
122,Australia,900,The New South Wales Stolen Generations Reparations Scheme and the Funeral Assistance Fund,The New South Wales Stolen Generations Reparations Scheme and the Funeral Assistance Fund,Le programme de réparation des générations volées de Nouvelle-Galles du Sud et le fonds d'assistance funéraire,"Before June 2, 1969",domestic law; truth commission,,judicial; executive,yes,2016,2016-12-02,2017,2017-07-01,,2023-06-30,2023,recognition; compensation,https://www.aboriginalaffairs.nsw.gov.au/media/website_pages/healing-and-reparations/stolen-generations/reparations-scheme/2022-Stolen-Generations-Reparations-Scheme-Guidelines.pdf,0,0,0,0,,0,0,application process,,yes,yes,: Stolen Generations Reparations Scheme Unit searches the Aborigines Welfare Board for evidence of removal; Aboriginal Independent Assessors make recommendations to the Minister for Aboriginal Affairs; Minister decides on who gets reparations.,yes,,state government,0,0,0,0,0,0,0,,1,no,,,no,"mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),victims,yes,"symbolic (memorials, apologies, museums, etc); social services (e.g. creating, reforming, and/or funding health or educational services, job training services, legal or housing assistance services, etc., to benefit the victim community[ies])","experience-based community (group of individuals who share a historical experience); violation-based community (group of individuals who suffered the same form of human rights violation); social identity-based community (group of individuals who share a cultural, ethnic, racial, or other identity)",no,don't know,no,other,0,"Unknown, scheme open until June 2023.",,A$5 million for collective reparations; unknown for individual reparations because the scheme is still open until June 2023,no,,,,2025-12-16
120,Australia,900,National Redress Scheme for Institutional Child Sexual Abuse Act 2018,National Redress Scheme for Institutional Child Sexual Abuse Act,Loi sur le système national de réparation des abus sexuels commis sur des enfants en institution,"Before July 1, 2018 (scheme start day)",domestic law,,legislative act,no,2018,2018-06-21,2018,2018-07-01,,2028-07-01,2028,recognition; other (specify below),https://www.legislation.gov.au/Details/C2018A00045,0,0,0,0,,0,0,application process,21674,yes,yes,Human Services Department,yes,,state government,0,0,0,0,0,0,1,,0,no,,,no,mental/emotional (psychological or mental health challenge or condition resulting from violations),yes,"compensation (monetary compensation for any economically assessable damage); rehabilitation (UNGA: ""medical and pyschological care as well as legal and social services""); other",victims,no,,,no,yes,no,,1,"As of December 30, 2022 (last date for which data is available), 11,306 people had been compensated.",11306,"As of December 30, 2022 (last date for which data is available), A$919.4 million",yes,National Redress Scheme for Institutional Child Sexual Abuse (Funders of Last Resort) Declaration 2019,2022,expanded reparations policy,2025-12-16
121,Australia,900,Territories Stolen Generations Redress Scheme,Territories Stolen Generations Redress Scheme,Territoires Programme de réparation pour les générations volées,"Location dependent: for the Northern Territory, before July 1, 1978, and for the Australian Capital Territory, before May 11, 1989",domestic law,,legislative act,no,2021,2021-08-05,2022,2022-03-01,,2026-02-28,2026,recognition,https://territoriesredress.gov.au/about,0,0,0,0,,0,0,application process,500,yes,yes,National Indigenous Australians Agency,yes,,state government,0,0,0,0,0,0,0,,1,no,,,no,"mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage); other,victims,no,,,no,don't know,yes,case worker services or other application assistance available; other,1,247 as of October 2022,247,$280 million USD or A$378.6 million,no,,,,2025-12-16
125,Australia,900,Stolen Generations Reparations Package,Stolen Generations Reparations Package,Paquet de réparations pour les générations volées,"Before December 31, 1976",domestic law; truth commission,,executive,yes,2022,2022-03-03,2022,2022-03-31,,2027-03-31,2027,other (specify below),https://www.vic.gov.au/stolen-generations-reparations-package,0,0,0,0,,0,0,application process,1200,yes,yes,"Stolen Generations Reparations Unit, Department of Justice and Community Safety",yes,,state government,0,0,0,0,0,0,0,,1,no,,,no,"mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations)",yes,"compensation (monetary compensation for any economically assessable damage); restitution (UNGA: ""restore the victim to the original situation before the gross violations of international human rights law or serious violations of international humanitarian law occurred""); rehabilitation (UNGA: ""medical and pyschological care as well as legal and social services""); other",victims,no,,,no,don't know,no,case worker services or other application assistance available; other,0,Unknown. Applications open until March 2027.,,A$155 million,no,,,,2025-12-16
57,Bolivia,145,Law 2640: Exceptional compensation to victims of political violence during periods of unconstitutional governments” (Ley 2640 de Resarcimiento excepcional a víctimas de la violencia política en períodos de gobiernos inconstitucionales),Law 2640: Exceptional compensation to victims of political violence during periods of unconstitutional governments,Loi 2640 : Indemnisation exceptionnelle des victimes de la violence politique pendant les périodes de gouvernements inconstitutionnels,"November 4, 1964 – October 10, 1982",domestic law,,legislative act,,2004,2004-03-11,2005,2005-01-01,2012,2012-01-01,,compensation,https://reparations.qub.ac.uk/assets/uploads/Compensation-Bolivia-ESP.pdf,1,1,0,0,,0,0,application process,6178,yes,yes,"National Commission for Redress of the Victims of Political Violence (Comision Nacional para el Resarcimiento a Victimas de Violencia Politica, CONREVIP) from 2005-2009. The Technical Qualification Commission (Comisión Técnica de Calificación, COMTECA) onward.",yes,,state government; domestic donor; foreign donor,1,1,1,1,0,0,1,rape,0,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations); mental/emotional (psychological or mental health challenge or condition resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations); economic (loss of income, job/employment, assets, or property resulting from violations)",yes,"compensation (monetary compensation for any economically assessable damage); restitution (UNGA: ""restore the victim to the original situation before the gross violations of international human rights law or serious violations of international humanitarian law occurred""); rehabilitation (UNGA: ""medical and pyschological care as well as legal and social services"")",relatives of victims; victims,no,,,yes,no,no,,1,"1714 approved, 800 or less received compensation (as of 2012).",800,USD$3.6 million promised (as of 2012),yes,,2012,limited reparations policy,2025-12-16
85,Bosnia and Herzegovina,346,Agreement on Refugees and Displaced Persons,Agreement on Refugees and Displaced Persons,Accord sur les réfugiés et les personnes déplacées,04/06/1992 – 12/14/1995,International process; peace agreement,Co-signed by the UNSC,,,1995,1995-12-14,1995,1995-12-14,2003,2003-12-31,,no stated goals,https://peacemaker.un.org/sites/peacemaker.un.org/files/BA_951121_DaytonAgreement.pdf,0,0,1,1,398,0,1,application process,255000,yes,yes,Human Rights Chamber,yes,60,state government; foreign donor,1,0,0,1,0,1,0,,0,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations); fundamental rights (loss of rights like citizenship, freedom of religion or expression, etc. resulting from violations); economic (loss of income, job/employment, assets, or property resulting from violations)",yes,"compensation (monetary compensation for any economically assessable damage); restitution (UNGA: ""restore the victim to the original situation before the gross violations of international human rights law or serious violations of international humanitarian law occurred"")",relatives of victims; victims,yes,collective compensation (lump sum provided to a community),violation-based community (group of individuals who suffered the same form of human rights violation),yes,don't know,no,offices located around the country,1,"206,243",206243,No official stats.,no,,,,2025-12-16
68,Brazil,140,Law No. 9.140 on the Missing,Law No. 9.140 on the Missing,Loi n° 9.140 sur les personnes disparues,September 1961 to August 1979,domestic law,,legislative act,,1995,1995-04-12,1995,1995-12-04,2004,2003-01-01,,recognition,https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/implementingLaws.xsp?documentId=5F3352C56672D5D9C1256E6900579569&action=openDocument&xp_countrySelected=BR&xp_topicSelected=GVAL-992BUF&from=state,1,1,0,0,,0,0,application process; other,373,yes,yes,Special Commission on Political Deaths and Disappearances,yes,10,state government,1,0,0,1,0,0,0,,0,no,,,no,"economic (loss of income, job/employment, assets, or property resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims,no,,,yes,don't know,no,,1,280,280,"33,456,284.87 reis as of 2003",don't know,Law 10.526/02 and Law Law 10.875,2002,expanded reparations policy,2025-12-16
69,Brazil,140,Lei 10.559,Law 10.559,Loi 10.559,"September 18, 1946 to October 5, 1988",domestic law,,legislative act,no,2002,2002-11-13,2002,2002-12-31,,,,restitution; compensation,https://www.legal-tools.org/doc/1ebe1c/pdf/,1,1,0,0,,0,0,application process,79183,yes,yes,Amnesty Commission,yes,,state government,1,1,1,1,0,0,0,,1,no,,,no,"economic (loss of income, job/employment, assets, or property resulting from violations)",yes,compensation (monetary compensation for any economically assessable damage),relatives of victims; victims,no,,,yes,don't know,no,,1,59163 as of 2011,59163,"2,742,631,524 reias as of April 2022. (About USD$542,676,271.76)",don't know,,,,2025-12-16
126,Canada,20,Aboriginal Healing Foundation,Aboriginal Healing Foundation,Fondation autochtone de guérison,1892-1990s,domestic law,,executive,no,1998,1998-03-30,1998,1998-04-01,2014,2014-09-30,,reconciliation; other (specify below),chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.ahf.ca/downloads/gathering-strength.pdf,0,0,0,0,,0,0,application process,,,yes,Aboriginal Healing Foundation,yes,76,state government; domestic donor,0,0,0,0,0,0,1,,1,no,,,no,"physical (death, bodily injury, temporary or long-term disability, etc. resulting from violations); mental/emotional (psychological or mental health challenge or condition resulting from violations)",no,,,yes,"social services (e.g. creating, reforming, and/or funding health or educational services, job training services, legal or housing assistance services, etc., to benefit the victim community[ies])","violation-based community (group of individuals who suffered the same form of human rights violation); social identity-based community (group of individuals who share a cultural, ethnic, racial, or other identity)",no,,yes,offices located around the country,0,n/a,,$537 million CAD,yes,,2004 and 2007,expanded reparations policy,2025-12-16
