truthcommissionID,country,ccode_cow,officialName,officialName_en,officialName_en_fr,tcType,legalBasis,branchCreated,domesticInitiatePerson,internationalBody,yearPassed,dayMonthPassed,tclawOnline,status,yearBeginOperation,democraticTransitionBeforeTC,fitsPostAutocraticTJ,intraConflictBeforeTC,fitsConflictTJ,ucdpConflictID,ucdpDyadID,beganOperatingDuringIntraConfl,beganOperatingAfterIntraConfl,tcAims,subnationalAuthorization,subnationalOperation,consultedVictims,consultedGroups,mandateTimePeriodCovered,timePeriod,idiosyncratic,disappearance,death,torture,SGBV,forcedDisplacement,corruption,crimeSpecificGroups,crimesOther,victimCount,formallyIndependent,commissioners,commissionerCount,commissionersHowChosen,commissionersVictimGroups,staff,staffMemberCount,primaryFunding,estimatedCost,investigateStateMembers,compelTestimony,penalizeIndividuals,namePerpetrators,accessOfficialDocuments,supportProsecutions,allocateReparations,recommendInstitutionalReforms,grantAmnesty,testimonies,casesTestimoniesCount,testimoniesAvailablePublic,heldPublicHearings,encourageVictimTestimony,encourageVictimTestimonyHow,perpetratorTestimony,perpetratorPubliclyNamedTestimony,perpetratorsWho,perpetratorReceived,yearCompleteOperation,finalReportIssued,reportPublisher,reportPubliclyAvailable,pdf_file,reportEstablishResponsibility,perpetratorNamesPublished,reportHighlightVictimGroups,finalReportRecommendations,recommendProsecutions,recommendProsecutionsWho,recommendReparations,reparationsType,reportRecommendInstitutionalReform,SecuritySectorReforms,SSRType,vetting,vettingType,legalReform,legalType,judicialReforms,judicialReformsType,humanRightsReforms,humanRightsReformType,corruptionReforms,corruptionReformsType,genderReform,genderReformType,finalRecommendations,mandatePeriodicMonitoringImplementation,tjet_version
110,Algeria,615,Commission d’Enquête ad hoc chargée de la question des disparus (Ad Hoc Inquiry Commission in Charge of the Question of Disappearances),Ad Hoc Inquiry Commission in Charge of the Question of Disappearances,Commission d'enquête ad hoc chargée de la question des disparitions,domestic,domestic law,executive,President Abdelaziz Bouteflika,,2003,2003-09-11,<https://www.usip.org/sites/default/files/file/resources/collections/commissions/Algeria-Charter_Decree03_299.pdf>,completed,2003,1,0,1,1,386,828; 829; 827; 830,1,0,reconciliation; dialogue; responsibility; historical truth; reparation; truth for victims,no,no,0,,Yes,1992-1999,0,1,1,1,0,0,0,0,0,,partially independent,Yes,6,Appointed by President based on merit from existing pool of National Consultative Commission on the Promotion and Protection of Human Rights commissioners; chairman of the COI was Farouk Ksentini…. Positions specified by criteria in Decree 03-299,No,Unknown,,state government,,0,0,0,0,1,0,0,0,0,Yes,,No,No,No,,No,,former state agents; current state agents,,2005,Yes,The COI delivered the report directly to the President,No,0,,,,No,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
112,Argentina,160,"Comisión Nacional sobre la Desaparición de Personas (CONADEP), National Commission on the Disappearance of Persons",National Commission on the Disappearance of Persons,Commission nationale sur la disparition des personnes,domestic,domestic law,executive,Raúl Alfonsín,,1983,1983-12-15,https://www.usip.org/publications/1983/12/truth-commission-argentina,completed,1983,1,1,1,0,,,0,0,memorialization; historical truth; truth for victims,no,no,0,,Yes,1976-83,0,1,1,1,0,0,0,0,0,,fully independent,Yes,13,"10 appointed by the President and 3 appointed by the Chamber of Deputies, all based on merit",No,Yes,60,state government,,1,0,0,0,1,1,0,1,0,Yes,14000,Yes,No,Yes,conducted outreach,Yes,Yes,former state agents; current state agents,No,1984,Yes,Farrar Straus & Giroux published the 1st edition in Spanish; English versions published by Farrar Straus & Giroux as well as Faber and Faber,Yes,1,Yes,No,Yes,Yes,0,,1,collective,1,0,,0,,0,,1,more legal aid; respect due process,1,ratify human rights treaties,0,,0,,Support non-governmental national and international human rights organizations,No,2025-12-16
113,Bahrain,692,اللجنة البحرينية المستقلة لتقصي Bahrain Independent Commission of Inquiry (BICI),Bahrain Independent Commission of Inquiry,Commission d'enquête indépendante du Bahreïn,hybrid,domestic law,executive,King Hamad bin Isa Al Khalifa,,2011,2011-06-29,https://www.peaceagreements.org/viewmasterdocument/1414,completed,2011,0,0,0,0,,,0,0,historical truth,no,no,0,,Yes,February-March 2011,0,1,0,1,0,0,0,0,1,,fully independent,Yes,5,“selected on the basis of their investigatory and judicial experience”,No,Yes,,state government,,1,0,0,0,1,0,0,0,0,Yes,,No,No,Yes,offered benefits to victims; conducted outreach,Yes,No,former state agents; current state agents; foreign actors,No,2011,Yes,"BICI’s website, https://www.bici.org.bh/, then more than 2,000 print versions distributed by BICI",Yes,1,Yes,No,Yes,Yes,1,Security forces. “Government of Bahrain should conduct effective investigations into all the deaths that have been attributed to the security forces”,1,collective; individual,1,1,training / capacity; detainee treatment / prison conditions,0,,1,change to criminal code,1,more legal training; change judge codes of conduct,1,protect rights defenders / freedom of expression,0,,0,,"Due to the extensivity of the pattern of torture in detention, BICI recommends the creation of an additional independent and impartial body to investigate and prosecute perpetrators of torture. BICI further recommends that “all persons charged with offences involving political expression, not consisting of advocacy of violence, have their convictions reviewed and sentences commuted or, as the case may be, outstanding charges against them dropped.” In addition, BICI recommends that the Government of Bahrain shoul “develop educational programs at the primary, secondary and university levels to promote religious, political and other forms of tolerance, as well as promote human rights and the rule of law.”",Yes,2025-12-16
114,Bolivia,145,Comisión Nacional de Investigación de Ciudadanos Desaparecidos (CNICD) National Commission of Investigation of Disappeared Citizens,National Commission of Investigation of Disappeared Citizens,Commission nationale d'enquête sur les citoyens disparus,domestic,domestic law,executive,President Hernán Siles Zuazo,,1982,1982-10-30,<http://www.gacetaoficialdebolivia.gob.bo/normas/buscar/19241>,completed,1982,1,1,0,0,,,0,0,historical truth; truth for victims,no,no,0,,No,,0,1,1,0,0,0,0,0,0,,partially independent,Yes,9,"Presidential Decree 19241 stipulates that the following must be represented as commissioners: 1 executive representative designated by the Ministry of Interior, 2 legislative representatives designated by the Senate and Chamber of Deputies, 1 church representative, 1 Armed Forces representative, 1 union representative designated by the Bolivian Workers’ Central, 1 Permanent Assembly of the Human Rights Commission representative, 1 Red Cross representative, and 1 press representative",Yes,Unknown,,state government,,1,0,0,0,1,0,0,0,0,Yes,155,No,No,No,,No,,former state agents; current state agents,,1985,No,,No,0,,,,No,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
115,Bolivia,145,La Comisión de la Verdad del Estado Plurinacional de Bolivia (Truth Commission of the Plurinational State of Bolivia),Truth Commission of the Plurinational State of Bolivia,Commission de la vérité de l'État plurinational de Bolivie,domestic,domestic law,legislative act,"The Legislative Assembly, signed by President Evo Morales",,2016,2016-12-23,<http://www.gacetaoficialdebolivia.gob.bo/normas/buscar/879>,completed,2017,1,1,0,0,,,0,0,prevention of human rights violations; memorialization; responsibility; historical truth; non-recurrence; truth for victims,no,no,0,,Yes,"November 4, 1964 to October 10, 1982",0,1,1,1,1,0,0,0,1,164,not independent,Yes,5,"According to Law No. 879, “based on their proven impartiality, professional capacity, ethics and personal integrity, commitment to the promotion of human rights, as well as knowledge of the experienced reality during the period [1964-82].” The commissioners were designated by President Evo Morales.",Yes,Yes,,state government,,1,1,0,0,1,1,0,1,0,Yes,,No,No,Yes,offered witness protection,Yes,No,former state agents,No,2020,Yes,The TC itself,Yes,1,Yes,Yes,Yes,Yes,1,"summons to those whose names and identification document numbers appear as valid in SEGIP [identity service] and SERECI [civic registry]” ; “initiate legal action against Javier Hinojosa Valdez, alias “El Lince”, for his part in the assault on the headquarters of Central Obrero Boliviano (union)” ; summon “non-commissioned officer Raúl Solano Medina” and “Gregorio Loza Balza” to testify about the coup staged by General Meza ; initiate Interpol investigations to locate “Franz Pizarro Solano, alleged perpetrator… against Marcelo Quiroga Santa Cruz at the headquarters of Central Obrero Boliviano (union)” ; “summon the former morgue Marcelino Fernández to testify… about the fate of the remains of Carlos Flores Bedregal and… Marcelo Quiroga Santa Cruz”",1,collective; individual,1,1,training / capacity,0,,1,change to criminal code; comply with human rights law,0,,1,establish independent human rights bodies,0,,1,other,"- Creation of an “Archive of Repression” to identify all detainees and forcibly disappeared persons due to their union or political association; - Allocation of a special budget within the Universal Healthcare System that address the consequences of the regimes through reimbursement and coverage of entry procedures, care, and medications - Official recognition by the government of specific instances of tragedy, including the death of Che Guevara, execution of Ejército de Liberación Nacional (ENL) soldiers, and murder of peasant leader Símon Ramírez - Offer financial award to anyone with information about the remains of Marcelo Quiroga Santa Cruz - Encourage the creation of museums and research centers for memorialization.",No,2025-12-16
116,Bosnia and Herzegovina,346,Commission for Investigation of the Events in and around Srebrenica between 10 and 19 July 1995,Commission for Investigation of the Events in and around Srebrenica between 10 and 19 July 1995,Commission d'enquête sur les événements survenus à Srebrenica et dans ses environs entre le 10 et le 19 juillet 1995,hybrid,domestic law,legislative act,The RS National Assembly,,2003,2003-12-15,,completed,2004,1,1,1,1,389,834; 835,0,1,responsibility; historical truth; accountability; recognition of victims; truth for victims,yes,yes,0,,Yes,10th to 19th July 1995,0,1,1,1,1,1,0,1,1,13298,partially independent,Yes,7,Appointed by the RS Government,Yes,Unknown,,state government; foreign donor,,1,0,0,0,1,1,0,1,0,No,,No,No,No,,No,,former state agents; current state agents,,2004,Yes,"The government published the report in hard copy as Government of Republika Srpska. The Events in and around Srebrenica between 10th and 19th July 1995. Banja Luka, 11 June 2004. An addendum was also published 15 October 2004.",No,1,,,,Yes,1,Use the Commission database and compiled lists to find more evidence of criminal responsibility,1,collective,1,1,discipline / changed codes of conduct,0,,1,comply with human rights law,0,,0,,0,,0,,conduct exhumations and identifications of remains through DNA analysis and continue to collect documentation of mass graves; allocate funds to both of these endeavors,No,2025-12-16
117,Brazil,140,Comissão Nacional da Verdade (National Truth Commission) Narrative:,National Truth Commission,Commission nationale de la vérité,domestic,domestic law,executive,President Dilma Rousseff,,2011,2011-11-18,<http://www.planalto.gov.br/CCIVIL_03/_Ato2011-2014/2011/Lei/L12528.htm>,completed,2012,1,1,0,0,,,0,0,prevention of human rights violations; reconciliation; memorialization; responsibility; historical truth; truth for victims,no,yes,0,,Yes,"September 18, 1946 to October 5, 1988",0,1,1,1,1,0,0,0,0,434,fully independent,Yes,7,"According to Law No. 12,528 “appointed by the President of the Republic, among Brazilians, of recognized reputation and ethical conduct, identified with the defense of democracy and constitutional institutionality, as well as respect for human rights.” Those who “hold executive positions in a party association… are unable to act impartially… [and/or] are in the exercise of a position in commission or in a position of trust in any sphere of public power,” cannot participate in the NTC.",No,Yes,255,state government,,1,1,0,0,1,0,0,0,0,Yes,,Yes,Yes,Yes,offered witness protection,Yes,Yes,former state agents; current state agents,No,2014,Yes,"The government of Brazil, National Truth Commission Library, available online through the International Cataloguing in Publication data service as well as NTC website at http://cnv.memoriasreveladas.gov.br/todos-volume-1.html.",Yes,1,Yes,Yes,Yes,Yes,1,"377 named prosecutors, only 196 of whom are alive",0,,1,1,training / capacity; structural reforms; detainee treatment / prison conditions,0,,1,change to criminal code; limit amnesties; other,1,more legal aid,1,establish independent human rights bodies; other,0,,0,,"That the military explicitly recognize and acknowledge responsibility for the human rights violations, establish museums and other systems and institutions of memorialization to preserve memory of the dictatorship’s human rights violations, retract medals, street names, building and public institution names, etc. from those who committed human rights crimes but were hailed as “heroes” during the dictatorship",No,2025-12-16
118,Burkina Faso,439,The Independent Commission of Inquiry into the Death of Norbert Zongo and His Four Companions,The Independent Commission of Inquiry into the Death of Norbert Zongo and His Four Companions,La Commission d'enquête indépendante sur la mort de Norbert Zongo et de ses quatre compagnons,hybrid,domestic law,executive,President Blaise Compaoré,,1998,1998-12-18,,completed,1999,1,0,1,0,,,0,0,responsibility; historical truth; accountability; recognition of victims; truth for victims,no,no,0,,No,,0,1,0,1,0,0,0,0,1,6,fully independent,Yes,11,There was mandated space for three government representatives appointed by Compaoré; three representatives appointed by local human rights organizations; a representative of the family of each of the five victims; and five international representatives of international journalism organizations,Yes,Yes,32,state government; foreign donor,,1,1,0,0,1,0,0,1,0,Yes,200,No,No,Yes,,No,,former state agents; current state agents,,1999,Yes,The COI itself published its report.,Yes,1,,,,Yes,1,"The six named RSP suspects, Christophe Kombacere, Ousseini Yaro, Wampasba Nacoulma, Banagoulo Yaro, Edmond Koama and Marcel Kafando. It also recommends further questioning Francois Compaoré about his role in David Ouédraogo’s death.",1,individual,1,1,democratic accountability / civilian control; structural reforms; detainee treatment / prison conditions,0,,1,change to criminal code,1,general recommendation; establish special courts,1,protect rights defenders / freedom of expression,0,,0,,,No,2025-12-16
120,Burundi,516,Commission de Verité et Reconciliation (Truth and Reconciliation Commission),Truth and Reconciliation Commission,Commission vérité et réconciliation,domestic,domestic law,executive; legislative act,President Nkurunziza,,2014,2014-05-15,,ongoing,2014,1,0,1,1,287,597,0,1,reconciliation; historical truth; reparation; coexistence; truth for victims,no,no,0,,Yes,"? 1962-2005, extended in 2018 to 2005-2018",0,0,1,0,0,0,0,1,0,142505,not independent,Yes,11,"Appointed by legislature and President by merit. This process was heavily criticized due to the elimination of the tripartite commission (UN, civil society, government) for appointment. In the Presidential-legislative appointment process completely controlled by CNDD-FDD, it is reported that qualifications such as experience dealing with past processes or political motivations were “rarely discussed”.",Yes,Yes,,state government; foreign donor,,0,0,0,0,0,0,1,1,0,Yes,374,No,Yes,Yes,conducted outreach,Yes,No,current opposition; former opposition; current state agents,No,,No,,,0,,,,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
121,Canada,20,Truth and Reconciliation Commission,Truth and Reconciliation Commission,Commission vérité et réconciliation,domestic,peace agreement,,,,2007,2007-09-19,<https://www.residentialschoolsettlement.ca/settlement.html>,completed,2008,0,0,0,0,,,0,0,reconciliation; memorialization; responsibility; historical truth; accountability; truth for victims,no,yes,1,indigenous groups,No,,0,0,0,0,0,1,0,1,0,6000,fully independent,Yes,3,"Schedule “N” of the IRSSA holds that the Commission will consist of one Chairperson and two Commissioners, one of which must be Aboriginal. “Appointments shall be made out of a pool of candidates nominated by former students, Aboriginal organizations, churches, and governments,” and ultimately must be confirmed by the Assembly of First Nations.",Yes,Yes,41,state government,72000000,0,0,0,0,1,0,0,1,0,Yes,6500,Yes,Yes,Yes,conducted outreach; offered witness protection,Yes,Yes,former state agents; corporations,No,2015,Yes,The TRC published its own Final Report,Yes,1,Yes,Yes,Yes,Yes,0,,0,,1,1,training / capacity; detainee treatment / prison conditions,0,,1,change to criminal code; other,1,more legal aid; change judge codes of conduct,1,ratify human rights treaties; changes to legal identity; other; address minority rights violations,0,,1,address gender discrimination; address sexual violence,"Reduce the number of Aboriginal children in the care of the state by closely monitoring cases of neglect, ensuring the educated training of social workers, and prioritizing the resources of Aboriginal communities - The adoption of Jordan’s Principle, which requires the federal government to take indigenous children into their care and minimize jurisdiction fights with provinces - Modify Aboriginal parenting programs, early childhood education, inmate rehabilitation, and healing programs to reflect cultural differences - Eliminate employment, education, health, sports, business, media access and representation gaps - Calls upon the Pope, the Crown, the President, and the Prime Minister to issue an apology - Museum, research, monument, youth group, art installation, national holiday, and other memorialization/commemoration efforts - Inform families of the dead of their burial location - Amend the Oath of Citizenship to include a promise to observe treaties with indigenous peoples",No,2025-12-16
