ccode,ccode_vdem,country_id_vdem,country,year,trans_year,trans_note,p5_year,trans_p5,bmr_year,trans_bmr,ert_year,trans_ert,row_yr,trans_row,gwf_yr,trans_gwf,tjet_dtrid,isq_dtrid,tjrc_dtrid,dem_bmr,dem_omit_bmr,dem_trans_bmr,polity_p5,polity2_p5,change_p5,regtrans_p5,v2x_regime_ert,v2x_regime_orig,v2x_regime_amb,v2x_polyarchy,reg_type,reg_start_year,reg_end_year,reg_trans,reg_age,dem_spell_id,dem_reversion,dem_ep_start_year,dem_ep_end_year,dem_founding_elec,dem_ep_outcome,aut_ep_start_year,aut_ep_end_year,aut_ep_outcome,aut_founding_elec,regime_gwf,reg_fail_gwf
700,700,36,Afghanistan,1949,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.086,Autocracy,1900,2023,No regime transition,49,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1950,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.092,Autocracy,1900,2023,No regime transition,50,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1951,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.092,Autocracy,1900,2023,No regime transition,51,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1952,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.08,Autocracy,1900,2023,No regime transition,52,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1953,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.079,Autocracy,1900,2023,No regime transition,53,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1954,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.073,Autocracy,1900,2023,No regime transition,54,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1955,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.075,Autocracy,1900,2023,No regime transition,55,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1956,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.076,Autocracy,1900,2023,No regime transition,56,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1957,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.076,Autocracy,1900,2023,No regime transition,57,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1958,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.074,Autocracy,1900,2023,No regime transition,58,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1959,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.074,Autocracy,1900,2023,No regime transition,59,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1960,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.077,Autocracy,1900,2023,No regime transition,60,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1961,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.079,Autocracy,1900,2023,No regime transition,61,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1962,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.079,Autocracy,1900,2023,No regime transition,62,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1963,,,,,,,,,,,,,,,,0,0,0,-10,-10,,,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,63,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1964,,,,,,,,,,,,,,,,0,0,0,-7,-7,3,1,Closed autocracy,0,Closed autocracy,0.134,Autocracy,1900,2023,No regime transition,64,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1965,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.148,Autocracy,1900,2023,No regime transition,65,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1966,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.158,Autocracy,1900,2023,No regime transition,66,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1967,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.16,Autocracy,1900,2023,No regime transition,67,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1968,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.16,Autocracy,1900,2023,No regime transition,68,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1969,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.159,Autocracy,1900,2023,No regime transition,69,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1970,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.157,Autocracy,1900,2023,No regime transition,70,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1971,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.157,Autocracy,1900,2023,No regime transition,71,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1972,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.151,Autocracy,1900,2023,No regime transition,72,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,0
700,700,36,Afghanistan,1973,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.148,Autocracy,1900,2023,No regime transition,73,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,monarchy,1
700,700,36,Afghanistan,1974,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.1,Autocracy,1900,2023,No regime transition,74,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,personal,0
700,700,36,Afghanistan,1975,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.102,Autocracy,1900,2023,No regime transition,75,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,personal,0
700,700,36,Afghanistan,1976,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.102,Autocracy,1900,2023,No regime transition,76,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,personal,0
700,700,36,Afghanistan,1977,,,,,,,,,,,,,,,,0,0,0,-7,-7,,,Closed autocracy,0,Closed autocracy,0.099,Autocracy,1900,2023,No regime transition,77,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,personal,0
700,700,36,Afghanistan,1978,,,,,,,,,,,,,,,,0,0,0,-77,0,-77,-77,Closed autocracy,0,Closed autocracy,0.086,Autocracy,1900,2023,No regime transition,78,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,personal,1
700,700,36,Afghanistan,1979,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,79,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1980,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.082,Autocracy,1900,2023,No regime transition,80,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1981,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,81,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1982,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.082,Autocracy,1900,2023,No regime transition,82,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1983,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,83,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1984,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,84,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1985,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,85,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
700,700,36,Afghanistan,1986,,,,,,,,,,,,,,,,0,0,0,-66,,-66,-66,Closed autocracy,0,Closed autocracy,0.083,Autocracy,1900,2023,No regime transition,86,,,,,,No democratization episode during this year,,,No autocratization episode during this year,,party-personal,0
